Num;Topic;Advice;Sentence
1;Urban Walk;Attendre que le feu soit vert;It’s safer to wait for the green light—it’s designed to protect you, not just to look nice.
2;Urban Walk;Avoir peur de traverser un grand carrefour;Take your time and cross when the flow of people and traffic lines up.
3;Urban Walk;Choisir un trottoir ombragé;If you can, walk in the shade—it makes the journey easier and helps you keep your energy.
4;Urban Walk;Ne pas bloquer le passage;Just a small step to the side can let others pass more easily—everyone benefits from a clear path.
5;Urban Walk;Ne pas traverser en diagonale;Crossing in a straight line at the crosswalk helps everyone see you more clearly and keeps you safer.
6;Urban Walk;Regarder des deux côtés avant de traverser;Always look both ways before crossing—even on a one-way street. It’s safer.
7;Urban Walk;Rester sur le trottoir;Stay on the sidewalk whenever possible—it’s safer and helps you build good walking habits.
8;Urban Walk;Savoir attendre au feu piéton;Cross only when the signal is green—that’s when drivers expect people to cross and it’s safest for you.
9;Urban Walk;Traverser sur les passages piétons;Use the crosswalk each time—drivers and cyclists are prepared for you there.
10;Urban Walk;Avoir trop chaud ou froid pour marcher bien;"You’ll feel better if you cross into the shade; it helps you avoid getting too hot, even if it takes a little longer."
11;Urban Walk;Ne pas courir sur la route;Don’t run into the street—even if it seems empty. Roads are not playgrounds and cars can appear quickly.
12;Urban Walk;Regarder où l’on met les pieds;Watch where you step as well as where you’re headed—the ground can be uneven.
13;Urban Walk;Voir et être vu (visibilité, vêtements clairs);It’s important to be visible when you share the road—wearing bright colors helps keep everyone safe.
14;Urban Walk;Savoir quand faire demi-tour;If you turn back now, you’ll avoid getting stuck between the delivery vans.
15;Urban Walk;Éviter de marcher trop lentement en groupe;It helps everyone if we keep up with the pace of the city.
16;Urban Walk;Éviter les écouteurs à plein volume;It’s safer to keep one ear open when walking outside, so you can notice what’s happening around you.
17;Urban Walk;Être pressé mais devoir ralentir;Moving too fast can make things less safe.
18;Urban Walk;Lire une carte ou un plan de métro;South is over there—if you want to reach downtown, stay on the right. That marker can be confusing.
19;Urban Walk;Prendre un chemin connu quand on est perdu;If you’re lost, go back to a familiar spot—it’s the best way to find your direction again.
20;Urban Walk;Se repérer avec des repères visuels;See that statue? It lines up with the main entrance, so north is to your right.
21;Urban Walk;Se fier aux repères visuels;Align yourself with the pole rather than the paint—that’s the correct reference.
22;Urban Walk;Faire attention aux sorties de parking;Always look at gaps in buildings or fences—parking exits can open unexpectedly.
23;Urban Walk;Faire attention aux vélos et trottinettes;Stay within the marked stripes—outside them, you may be in an area meant for wheels, not pedestrians.
24;Urban Walk;Interpréter un panneau mal placé;That sign is misleading—use the railings to find the side entrance. It wasn’t updated after the construction.
25;Urban Walk;Laisser passer les personnes âgées;Let older people cross first—they may move more slowly, and it’s safer for everyone.
26;Urban Walk;Ne pas jeter ses déchets par terre;If you can’t find a bin, just keep your wrapper in your pocket—it helps keep public spaces pleasant.
27;Urban Walk;Oser faire demi-tour si on s’est trompé;Let’s turn back before we get too far off track.
28;Urban Walk;Respecter l’espace personnel;Give others space, even if you’re in a hurry—it helps everyone move around more easily.
29;Urban Walk;Se retrouver bloqué par une foule dense;If the crowd is too dense, moving to the side can help keep things flowing.
30;Urban Walk;Se souvenir d’un chemin pour le refaire;You turned left last time, and it worked well then.
31;Urban Walk;Suivre les panneaux de direction;Sometimes, the best places are hidden. That sign is the right one—just follow where it points.
32;Urban Walk;Trouver une rue en demandant son chemin;You missed a turn—go back, then take a left at the bakery.
33;Urban Walk;Être distrait par une vitrine ou un bruit;Bright displays can distract us from where we’re going.
34;Urban Walk;Être ébloui par le soleil ou gêné par le vent;Staying close to the edge until the light softens will help you walk more comfortably.
35;Urban Walk;Être émerveillé par une scène inattendue;Some things can’t be found on a map—they’re meant to be discovered.
36;Urban Walk;Se rendre compte des gestes utiles à faire;Offering a hand at the right moment can make a real difference.
